timestamp,avg_players,peak_players
2024-12-05 23:02:32,670606,670606
2024-12-06 00:01:40,470760,470760
2024-12-06 01:02:39,473231,473231
2024-12-06 02:01:55,499630,499630
2024-12-06 03:02:31,534317,534317
2024-12-06 04:01:45,533953,533953
2024-12-06 05:01:32,602906,602906
2024-12-06 06:01:06,616875,616875
2024-12-06 07:01:32,646084,646084
2024-12-06 08:01:12,714335,714335
2024-12-06 09:01:04,792781,792781
2024-12-06 10:00:41,769200,769200
2024-12-06 11:01:34,877767,877767
2024-12-06 12:01:34,1080252,1080252
2024-12-06 13:00:56,1287791,1287791
2024-12-06 14:01:33,1441550,1441550
2024-12-06 15:00:29,1411745,1411745
2024-12-06 16:01:39,1224483,1224483
2024-12-06 17:01:27,1097490,1097490
2024-12-06 18:00:28,1025663,1025663
2024-12-06 19:03:49,996503,996503
2024-12-06 20:01:45,987178,987178
2024-12-06 21:00:40,920580,920580
2024-12-06 22:03:05,850447,850447
2024-12-06 23:02:32,751169,751169
2024-12-07 00:00:46,667319,667319
2024-12-07 01:01:05,609397,609397
2024-12-07 02:01:54,608353,608353
2024-12-07 03:01:40,640855,640855
2024-12-07 04:07:55,640429,640429
2024-12-07 05:02:12,724127,724127
2024-12-07 06:01:47,830613,830613
2024-12-07 07:01:30,910554,910554
2024-12-07 08:01:36,974335,974335
2024-12-07 09:00:26,1004097,1004097
2024-12-07 10:01:35,948520,948520
2024-12-07 11:00:41,1015312,1015312
2024-12-07 12:01:36,1206282,1206282
2024-12-07 13:01:38,1451518,1451518
2024-12-07 14:02:09,1573901,1573901
2024-12-07 15:01:46,1521052,1521052
2024-12-07 16:01:51,1338393,1338393
2024-12-07 17:01:37,1193262,1193262
2024-12-07 18:01:40,1104152,1104152
2024-12-07 19:02:46,1093504,1093504
2024-12-07 20:01:04,1062155,1062155
2024-12-07 21:02:09,1010233,1010233
2024-12-07 22:02:24,914716,914716
2024-12-07 23:00:46,826162,826162
2024-12-08 00:01:56,696602,696602
2024-12-08 01:02:30,628305,628305
2024-12-08 02:01:50,607798,607798
2024-12-08 03:01:27,625562,625562
2024-12-08 04:03:30,674782,674782
2024-12-08 05:01:33,745425,745425
2024-12-08 06:02:31,874850,874850
2024-12-08 07:01:27,961472,961472
2024-12-08 08:00:59,1026889,1026889
2024-12-08 09:01:33,1043243,1043243
2024-12-08 10:01:17,1004981,1004981
2024-12-08 11:01:30,1032459,1032459
2024-12-08 12:02:08,1230769,1230769
2024-12-08 13:01:33,1478373,1478373
2024-12-08 14:01:48,1595114,1595114
2024-12-08 15:03:01,1429867,1429867
2024-12-08 16:02:01,1205693,1205693
2024-12-08 17:01:41,1110083,1110083
2024-12-08 18:01:36,1063233,1063233
2024-12-08 19:01:55,1012360,1012360
2024-12-08 20:00:41,954473,954473
2024-12-08 21:01:25,869214,869214
2024-12-08 22:01:26,775872,775872
2024-12-08 23:01:13,665799,665799
2024-12-09 00:00:01,588245,588245
2024-12-09 01:01:46,554297,554297
2024-12-09 02:02:16,546038,546038
2024-12-09 03:00:36,576142,576142
2024-12-09 04:02:10,577693,577693
2024-12-09 05:01:37,653225,653225
2024-12-09 06:01:29,633670,633670
2024-12-09 07:01:23,650449,650449
2024-12-09 08:01:16,709784,709784
2024-12-09 09:02:11,819842,819842
2024-12-09 10:03:37,829573,829573
2024-12-09 11:01:04,902707,902707
2024-12-09 12:01:38,1063801,1063801
2024-12-09 13:00:27,1275293,1275293
2024-12-09 14:01:32,1459806,1459806
2024-12-09 15:00:59,1334055,1334055
2024-12-09 16:01:33,1088217,1088217
2024-12-09 17:00:27,995293,995293
2024-12-09 18:01:37,980552,980552
2024-12-09 19:00:39,970905,970905
2024-12-09 20:01:18,953317,953317
2024-12-09 21:01:31,876181,876181
2024-12-09 22:01:39,774185,774185
2024-12-09 23:02:49,670731,670731
2024-12-10 00:02:11,600617,600617
2024-12-10 01:00:43,565916,565916
2024-12-10 02:01:53,557534,557534
2024-12-10 03:00:48,581924,581924
2024-12-10 04:01:42,578420,578420
2024-12-10 05:01:14,659436,659436
2024-12-10 06:01:36,652773,652773
2024-12-10 07:01:06,668008,668008
2024-12-10 08:01:32,724349,724349
2024-12-10 09:01:13,810180,810180
2024-12-10 10:01:26,828747,828747
2024-12-10 11:00:30,898335,898335
2024-12-10 12:01:40,1083898,1083898
2024-12-10 13:01:04,1293141,1293141
2024-12-10 14:00:31,1460550,1460550
2024-12-10 15:00:58,1336306,1336306
2024-12-10 16:01:38,1095553,1095553
2024-12-10 17:01:01,999610,999610
2024-12-10 18:01:33,977517,977517
2024-12-10 19:02:39,959164,959164
2024-12-10 20:00:27,944608,944608
2024-12-10 21:01:33,870066,870066
2024-12-10 22:01:28,769182,769182
2024-12-10 23:01:41,687591,687591
2024-12-11 00:01:55,480082,480082
2024-12-11 01:02:22,489144,489144
2024-12-11 02:03:06,526424,526424
2024-12-11 03:02:22,586435,586435
2024-12-11 04:01:31,591118,591118
2024-12-11 05:01:33,702403,702403
2024-12-11 06:01:28,692234,692234
2024-12-11 07:00:34,708406,708406
2024-12-11 08:00:54,762833,762833
2024-12-11 09:01:32,857895,857895
2024-12-11 10:00:36,866793,866793
2024-12-11 11:01:37,932724,932724
2024-12-11 12:01:27,1137838,1137838
2024-12-11 13:01:37,1359288,1359288
2024-12-11 14:00:44,1523351,1523351
2024-12-11 15:02:08,1380898,1380898
2024-12-11 16:01:33,1121874,1121874
2024-12-11 17:01:36,1027451,1027451
2024-12-11 18:00:54,1006883,1006883
2024-12-11 19:00:49,993124,993124
2024-12-11 20:01:27,950243,950243
2024-12-11 21:01:34,868577,868577
2024-12-11 22:01:33,757110,757110
2024-12-11 23:01:54,681116,681116
2024-12-12 00:01:58,598099,598099
2024-12-12 01:01:40,559765,559765
2024-12-12 02:01:37,440125,440125
2024-12-12 03:00:50,491353,491353
2024-12-12 04:01:27,512747,512747
2024-12-12 05:00:35,601856,601856
2024-12-12 06:01:36,584951,584951
2024-12-12 07:01:30,585875,585875
2024-12-12 08:00:43,650818,650818
2024-12-12 09:00:49,759687,759687
2024-12-12 10:01:33,740424,740424
2024-12-12 11:02:35,818041,818041
2024-12-12 12:01:36,1048507,1048507
2024-12-12 13:01:39,1302249,1302249
2024-12-12 14:01:02,1465724,1465724
2024-12-12 15:00:42,1324996,1324996
2024-12-12 16:01:37,1094242,1094242
2024-12-12 17:01:31,990682,990682
2024-12-12 18:01:23,963979,963979
2024-12-12 19:01:36,939654,939654
2024-12-12 20:01:28,925924,925924
2024-12-12 21:01:28,863866,863866
2024-12-12 22:01:30,758168,758168
2024-12-12 23:01:57,661876,661876
2024-12-13 00:02:23,587925,587925
2024-12-13 01:02:52,544535,544535
2024-12-13 02:01:35,537822,537822
2024-12-13 03:00:54,568836,568836
2024-12-13 04:01:59,572488,572488
2024-12-13 05:01:31,663942,663942
2024-12-13 06:01:30,592172,592172
2024-12-13 07:00:29,587731,587731
2024-12-13 08:01:33,664620,664620
2024-12-13 09:00:55,719471,719471
2024-12-13 10:01:01,831031,831031
2024-12-13 11:01:31,886161,886161
2024-12-13 12:01:34,1089265,1089265
2024-12-13 13:01:51,1288297,1288297
2024-12-13 14:02:56,1516488,1516488
2024-12-13 15:01:00,1460908,1460908
2024-12-13 16:00:45,1252436,1252436
